Designator,Footprint,Quantity,Value,LCSC Part #
"AL1, AL2, AL3, AL4, AL5, AL6, AL7",LED-SMD_6P-L2.2-W2.2-TL-1,7,~,C22371528
"AL10, AL11, AL12, AL13, AL14, AL15, AL16, AL17, AL18, AL19, AL20, AL21, AL22, AL23, AL8, AL9",LED-SMD_6P-L2.2-W2.2-TL-1,16,~,
BUZZER3,BUZ-SMD_L5.0-W5.5-P4.60,1,MLT-5020,C94598
"C1, C12, C13, C5, C6, C7",C_0603,6,10uF,C96446
"C10, C11, C14, C2, C24, C25",C_0603,6,100nF,C14663
"C15, C16, C17, C3, C4, C8, C9",C_0402,7,1uF,C52923
"C18, C19, C20, C21, C22, C23",C_0603,6,1uF,C15849
C26,C_0603,1,4.7uF,C19666
CARD1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
CN1,CONN-SMD_B4B-PH-SM4-TB-LF-SN,1,B4B-PH-SM4-TB (LF)(SN),C160354
CN2,HDR-TH_2P-P2.54-V-F,1,~,
CN3,HDR-TH_2P-P2.54-V-F,1,HDR-TH_2P-P2.54-V-F,
"D1, D10",D_0603,2,Red,C2286
"D11, D5, D9",D_SOD-123,3,B0520W,C7502707
D12,D_0805,1,Green,C2297
"D2, D3, D4, D6, D7, D8",SOD-523_L1.2-W0.8-LS1.6-BI,6,LESD5D5.0CT1G,C5199850
H2,HDR-TH_18P-P2.54-V-F-R2-C9-S2.54-1,1,~,C132125
"J1, J2",TYPE-C-SMD_HX-TYPE-C-16PIN,2,"Connector, USB-TYPE-C-16P",C2927039
LED1,LED-ARRAY-SMD_L3.7-W3.5-P1.10-TL,1,RS-3535MWAM,C842778
MB2,MiniBadge_Full_NoEdges,1,MiniBadge_Full,
P1,CONN-TH_2P-P2.00_PH-2A_C2319,1,PH-2A_C2319,C2319
P2,FPC-SMD_12P-L11.5-W5.4-P0.50,1,FPC 0.5MM 12P Pull type H2.0mm Pick up,C11086
"Q1, Q2",Q_SOT-23,2,SS8050 200-350,C2150
Q3,Q_SOT-23,1,HL2301A,C7420344
Q5,SOT-523_L1.6-W0.8-P1.00-BR,1,DTC114E,
"R1, R11, R12, R15, R16",R_0402,5,0Ω,C17168
"R10, R13, R14, R17",R_0402,4,10kΩ,C25744
"R18, R20",R_0402,2,100Ω,C25076
"R19, R2, R3, R4, R5, R6",R_0402,6,5.1kΩ,C25905
"R21, R22",R_0402,2,47Ω,C25118
R24,R_0402,1,100kΩ,C25741
"R25, R9",R_0402,2,1kΩ,C11702
R26,R_0402,1,2.2kΩ,C25879
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38",R_0603,12,10kΩ,C25804
"R39, R40",R_0603,2,4.7kΩ,C23162
R42,0402,1,27Ω,
R7,R_0402,1,22kΩ,C25768
R8,R_0402,1,47kΩ,C25792
RV1,Potentiometer_Bourns_3296W_Vertical,1,1000Ω,
S1,SW_2765,1,2765,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
SW3,SW-TH_G-SWITCH_SK-12F04-G050,1,SK-12F04-G050,C2848876
"SW4, SW5, SW6, SW7, SW8, SW9",SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,6,TS665CJ,C393938
U1,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1-N8,C2913206
U14,CONN-TH_HX-PM2.54-2X3P-ZC,1,~,
U18,QFN-16_L3.0-W3.0-P0.50-TL_MMA8452QR1,1,MMA8452QR1_C11360,C11360
U19,HDR-TH_2P-P2.54-V-M-5,1,FH2.54-09-02PZD,C7500771
U2,XDFN-4_L1.0-W1.0-P0.65-BL-EP,1,NCP167BMX330TBG,C892227
U20,HDR-TH_28P-P2.54-V-F-R2-C14-S2.54,1,2x14_female,C42372538
U3,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,CP2102N-A02-GQFN28R,C964632
U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U6,CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT,1,ZX-SH1.0-4PWT,C7430446
